REQUEST: Time: 2021-12-27T13:07:01.712Z |Path: /cases |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T13:07:14.900Z |Path: /cases |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T13:10:21.539Z |Path: /cases/create |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T13:11:27.401Z |Path: /cases/create |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T13:11:29.986Z |Path: /cases/create |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T13:11:35.339Z |Path: /cases/create |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T13:11:53.802Z |Path: /cases/create |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T13:12:13.182Z |Path: /cases/create |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T13:13:15.250Z |Path: /cases/create |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T13:13:23.674Z |Path: /cases/create |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T13:14:24.489Z |Path: /cases/create |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T13:15:18.195Z |Path: /cases |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T13:16:20.222Z |Path: /cases/CA6001 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T13:40:28.485Z |Path: /cases/CA6001 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T13:40:32.467Z |Path: /cases/CA6001 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T13:40:39.049Z |Path: /cases/ |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T13:45:07.633Z |Path: /cases/create |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T13:45:09.630Z |Path: /cases/create |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T13:45:10.515Z |Path: /cases/create |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T13:45:26.589Z |Path: /cases/CA6001 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T13:46:27.302Z |Path: /cases/CA6001 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T13:47:02.299Z |Path: /cases/CA6001 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T13:47:06.989Z |Path: /cases/CA6001 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T13:47:13.697Z |Path: /cases/CA6001 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T13:48:17.568Z |Path: /cases/CA6001 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T13:48:23.005Z |Path: /cases/CA6001 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T13:48:24.107Z |Path: /cases/CA6001 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T13:49:04.039Z |Path: /cases/CA6001 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T13:49:05.868Z |Path: /cases/CA6001 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T13:49:07.448Z |Path: /cases/CA6001 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T13:49:45.700Z |Path: /cases/CA6001 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T13:49:46.648Z |Path: /cases/CA6001 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T13:59:23.372Z |Path: /customers |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T14:01:25.729Z |Path: /contracts |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T14:01:38.623Z |Path: /cases/CA6001 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T14:01:47.004Z |Path: /cases/create |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T14:02:03.930Z |Path: /cases/CA6008 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T14:02:09.881Z |Path: /cases/CA6007 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T14:11:29.648Z |Path: /customersByContract/C3500 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T14:27:09.325Z |Path: /customers |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T14:27:11.626Z |Path: /contracts |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T14:27:15.025Z |Path: /cases/ |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T14:27:52.008Z |Path: /cases/ |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T14:27:55.809Z |Path: /cases/create |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T14:28:00.546Z |Path: /cases/ |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T14:28:15.866Z |Path: /cases/create |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T14:28:25.773Z |Path: /cases/CA6001 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T14:28:48.051Z |Path: /workshops |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T14:29:25.796Z |Path: /workshops |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T14:30:08.181Z |Path: /workshops/W9000 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T14:30:20.318Z |Path: /workshops/W9000 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T14:30:23.001Z |Path: /workshops/W9001 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T14:30:24.651Z |Path: /workshops/W9002 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T14:30:25.667Z |Path: /workshops/W9001 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T14:30:27.150Z |Path: /workshops/W9000 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T14:31:12.320Z |Path: /customers |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T14:32:34.337Z |Path: /workshopForCustomer/U1000 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T14:32:45.712Z |Path: /workshopForCustomer/U1001 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T14:32:47.977Z |Path: /workshopForCustomer/U1002 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T14:32:54.280Z |Path: /workshopForCustomer/U1000 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T14:33:48.179Z |Path: /contracts |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T14:33:56.500Z |Path: /customersByContract/C3500 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T14:34:01.002Z |Path: /cases/CA6001 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T14:59:46.796Z |Path: /contracts |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T15:00:20.811Z |Path: /fraudDetectionData/C3501 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T15:00:51.520Z |Path: /fraudDetectionData/C3501 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T15:01:04.451Z |Path: /fraudDetectionData/C3501 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T15:04:33.690Z |Path: /fraudDetectionData/C3501 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T15:04:59.490Z |Path: /fraudDetectionData/C3501 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T15:23:17.739Z |Path: /fraudDetectionData/U1001 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T15:27:00.305Z |Path: /fraudDetectionData/U1001 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T15:28:18.352Z |Path: /fraudDetectionData/U1001 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T15:30:29.912Z |Path: /fraudDetectionData/U1001 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T15:30:31.238Z |Path: /fraudDetectionData/U1001 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T15:31:07.402Z |Path: /fraudDetectionData/U1001 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-27T15:31:45.533Z |Path: /fraudDetectionData/U1001 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
